complaint_id,complaint_text,category,priority,complexity,recommended_team
CMP-0001,I have a question that is not covered in the FAQ.,Other,Medium,Low,General Support
CMP-0002,The website is not loading for me. I have been facing this issue recently.,Technical,Medium,Medium,Technical Support
CMP-0003,My order was marked delivered but I did not receive it.,Delivery,Urgent,Low,Delivery Support
CMP-0004,My package has been delayed unexpectedly.,Delivery,Medium,Medium,Delivery Support
CMP-0005,I have a general support question. This needs to be checked.,Other,Low,Medium,General Support
CMP-0006,The invoice amount is different from the amount I paid. I have been facing this issue recently.,Billing,Medium,Low,Billing Support
CMP-0007,A technical error appears when I submit the form.,Technical,High,Low,Technical Support
CMP-0008,I received a service different from what I requested. I would like an update.,Service,Low,Medium,Service Support
CMP-0009,The delivery is delayed beyond the expected date. This needs to be checked.,Delivery,Urgent,Low,Delivery Support
CMP-0010,I need assistance with something else. I would like an update.,Other,Low,Medium,General Support
CMP-0011,My refund has not been credited yet. I would like an update.,Billing,Low,High,Billing Support
CMP-0012,My billing statement contains an incorrect charge. I would like an update.,Billing,Medium,High,Billing Support
CMP-0013,A technical error appears when I submit the form. I would like an update.,Technical,High,Low,Technical Support
CMP-0014,I have a question that is not covered in the FAQ. Can you assist me with this?,Other,Low,Medium,General Support
CMP-0015,I cannot access the dashboard after logging in. This needs to be checked.,Technical,Medium,High,Technical Support
CMP-0016,I have a general support question. Please help me resolve this.,Other,Low,High,General Support
CMP-0017,My refund has not been credited yet.,Billing,Low,Medium,Billing Support
CMP-0018,My refund has not been credited yet. Can you assist me with this?,Billing,Low,Low,Billing Support
CMP-0019,Please help me understand the complaint process. This needs to be checked.,Other,Medium,Medium,General Support
CMP-0020,The service is unavailable and I cannot use the application. Please help me resolve this.,Technical,High,Medium,Technical Support
CMP-0021,I received a service different from what I requested. This needs to be checked.,Service,Low,Medium,Service Support
CMP-0022,I cannot access the dashboard after logging in. Can you assist me with this?,Technical,Medium,Medium,Technical Support
CMP-0023,The invoice amount is different from the amount I paid. I have been facing this issue recently.,Billing,High,Medium,Billing Support
CMP-0024,The delivery is delayed beyond the expected date. This needs to be checked.,Delivery,Medium,High,Delivery Support
CMP-0025,The delivery status has not changed for several days. Can you assist me with this?,Delivery,Low,Low,Delivery Support
CMP-0026,I have a question that is not covered in the FAQ. I have been facing this issue recently.,Other,Medium,Medium,General Support
CMP-0027,I am not sure which department can help with my issue.,Other,Low,Low,General Support
CMP-0028,I was charged an unexpected service fee. Can you assist me with this?,Billing,Medium,Medium,Billing Support
CMP-0029,I was charged an unexpected service fee. I have been facing this issue recently.,Billing,Medium,Low,Billing Support
CMP-0030,My scheduled service has been delayed. Can you assist me with this?,Service,Low,High,Service Support
CMP-0031,My subscription payment was processed incorrectly. I would like an update.,Billing,Medium,Low,Billing Support
CMP-0032,The assigned service was incomplete. Please help me resolve this.,Service,Urgent,High,Service Support
CMP-0033,I was charged twice for the same transaction. I have been facing this issue recently.,Billing,Medium,Low,Billing Support
CMP-0034,I received the wrong item in my delivery. Please help me resolve this.,Delivery,Medium,High,Delivery Support
CMP-0035,The service is unavailable and I cannot use the application. Can you assist me with this?,Technical,Low,Medium,Technical Support
CMP-0036,The system is responding very slowly. I have been facing this issue recently.,Technical,Medium,Medium,Technical Support
CMP-0037,My profile information is incorrect. This needs to be checked.,Account,Low,Medium,Account Support
CMP-0038,The mobile application keeps showing an error.,Technical,Medium,Medium,Technical Support
CMP-0039,The application stopped working after the latest update. Please help me resolve this.,Technical,Urgent,Medium,Technical Support
CMP-0040,My refund has not been credited yet.,Billing,Low,High,Billing Support
CMP-0041,The refund amount I received is incorrect. Please help me resolve this.,Billing,High,Medium,Billing Support
CMP-0042,I received the wrong item in my delivery. I have been facing this issue recently.,Delivery,Low,Medium,Delivery Support
CMP-0043,My account appears to be locked. This needs to be checked.,Account,Low,Low,Account Support
CMP-0044,My billing statement contains an incorrect charge. I would like an update.,Billing,Medium,Medium,Billing Support
CMP-0045,I need general information about the service. I have been facing this issue recently.,Other,Low,Medium,General Support
CMP-0046,My billing statement contains an incorrect charge. I have been facing this issue recently.,Billing,Medium,High,Billing Support
CMP-0047,The mobile application keeps showing an error. Please help me resolve this.,Technical,Medium,Low,Technical Support
CMP-0048,The service is unavailable and I cannot use the application. This needs to be checked.,Technical,High,High,Technical Support
CMP-0049,I cannot complete account verification.,Account,Urgent,High,Account Support
CMP-0050,I was charged twice for the same transaction. Please help me resolve this.,Billing,High,Medium,Billing Support
CMP-0051,The page keeps loading and never opens.,Technical,High,Low,Technical Support
CMP-0052,I am unable to update my email address. This needs to be checked.,Account,High,Medium,Account Support
CMP-0053,I have a general support question. I have been facing this issue recently.,Other,Medium,Low,General Support
CMP-0054,I need an update about my service request.,Service,Medium,Medium,Service Support
CMP-0055,I am not sure which department can help with my issue.,Other,Low,Medium,General Support
CMP-0056,I received the wrong item in my delivery.,Delivery,Low,Low,Delivery Support
CMP-0057,The website is not loading for me. Can you assist me with this?,Technical,Urgent,High,Technical Support
CMP-0058,My account details need to be updated. Can you assist me with this?,Account,High,Medium,Account Support
CMP-0059,The delivery is delayed beyond the expected date. This needs to be checked.,Delivery,Medium,Medium,Delivery Support
CMP-0060,The assigned service was incomplete. Please help me resolve this.,Service,Medium,Low,Service Support
CMP-0061,I am unhappy with the support service I received. Please help me resolve this.,Service,Medium,Low,Service Support
CMP-0062,The service quality was not as expected.,Service,Medium,High,Service Support
CMP-0063,I was charged twice for the same transaction. Can you assist me with this?,Billing,High,Low,Billing Support
CMP-0064,The service quality was not as expected. Please help me resolve this.,Service,Medium,Low,Service Support
CMP-0065,The delivery status has not changed for several days. Can you assist me with this?,Delivery,Low,High,Delivery Support
CMP-0066,My order has not been delivered yet. I have been facing this issue recently.,Delivery,Low,Low,Delivery Support
CMP-0067,I have a question that is not covered in the FAQ. Please help me resolve this.,Other,Low,High,General Support
CMP-0068,I have a general support question. Please help me resolve this.,Other,Low,Medium,General Support
CMP-0069,I am not sure which department can help with my issue. Please help me resolve this.,Other,Low,High,General Support
CMP-0070,I need an update on my delivery. I would like an update.,Delivery,Low,High,Delivery Support
CMP-0071,My billing statement contains an incorrect charge. I would like an update.,Billing,Urgent,Low,Billing Support
